ID	DAM	SIRE
401	NA	NA
402	NA	NA
403	NA	NA
404	NA	NA
405	NA	NA
406	NA	NA
407	NA	NA
408	NA	NA
409	NA	NA
410	NA	NA
411	NA	NA
412	NA	NA
413	NA	NA
414	NA	NA
415	NA	NA
416	NA	NA
417	NA	NA
418	NA	NA
419	NA	NA
420	NA	NA
421	NA	NA
422	NA	NA
423	NA	NA
424	NA	NA
425	NA	NA
426	NA	NA
427	NA	NA
428	NA	NA
429	NA	NA
430	NA	NA
431	NA	NA
432	NA	NA
433	NA	NA
434	NA	NA
435	NA	NA
436	NA	NA
437	NA	NA
438	NA	NA
439	NA	NA
440	NA	NA
441	NA	NA
442	NA	NA
443	NA	NA
444	NA	NA
445	NA	NA
446	NA	NA
447	NA	NA
448	NA	NA
449	NA	NA
450	NA	NA
451	NA	NA
452	NA	NA
453	NA	NA
454	NA	NA
455	NA	NA
456	NA	NA
457	NA	NA
458	NA	NA
459	NA	NA
460	NA	NA
461	NA	NA
462	NA	NA
463	NA	NA
464	NA	NA
465	NA	NA
466	NA	NA
467	NA	NA
468	NA	NA
469	NA	NA
470	NA	NA
471	NA	NA
472	NA	NA
473	NA	NA
474	NA	NA
475	NA	NA
476	NA	NA
477	NA	NA
478	NA	NA
479	NA	NA
480	NA	NA
481	NA	NA
482	NA	NA
483	NA	NA
484	NA	NA
485	NA	NA
486	NA	NA
487	NA	NA
488	NA	NA
489	NA	NA
490	NA	NA
491	NA	NA
492	NA	NA
493	NA	NA
494	NA	NA
495	NA	NA
496	NA	NA
497	NA	NA
498	NA	NA
499	NA	NA
500	NA	NA
1	401	481
2	401	481
3	401	481
4	401	481
5	401	481
6	402	481
7	402	481
8	402	481
9	402	481
10	402	481
11	403	481
12	403	481
13	403	481
14	403	481
15	403	481
16	404	481
17	404	481
18	404	481
19	404	481
20	404	481
21	405	482
22	405	482
23	405	482
24	405	482
25	405	482
26	406	482
27	406	482
28	406	482
29	406	482
30	406	482
31	407	482
32	407	482
33	407	482
34	407	482
35	407	482
36	408	482
37	408	482
38	408	482
39	408	482
40	408	482
41	409	483
42	409	483
43	409	483
44	409	483
45	409	483
46	410	483
47	410	483
48	410	483
49	410	483
50	410	483
51	411	483
52	411	483
53	411	483
54	411	483
55	411	483
56	412	483
57	412	483
58	412	483
59	412	483
60	412	483
61	413	484
62	413	484
63	413	484
64	413	484
65	413	484
66	414	484
67	414	484
68	414	484
69	414	484
70	414	484
71	415	484
72	415	484
73	415	484
74	415	484
75	415	484
76	416	484
77	416	484
78	416	484
79	416	484
80	416	484
81	417	485
82	417	485
83	417	485
84	417	485
85	417	485
86	418	485
87	418	485
88	418	485
89	418	485
90	418	485
91	419	485
92	419	485
93	419	485
94	419	485
95	419	485
96	420	485
97	420	485
98	420	485
99	420	485
100	420	485
101	421	486
102	421	486
103	421	486
104	421	486
105	421	486
106	422	486
107	422	486
108	422	486
109	422	486
110	422	486
111	423	486
112	423	486
113	423	486
114	423	486
115	423	486
116	424	486
117	424	486
118	424	486
119	424	486
120	424	486
121	425	487
122	425	487
123	425	487
124	425	487
125	425	487
126	426	487
127	426	487
128	426	487
129	426	487
130	426	487
131	427	487
132	427	487
133	427	487
134	427	487
135	427	487
136	428	487
137	428	487
138	428	487
139	428	487
140	428	487
141	429	488
142	429	488
143	429	488
144	429	488
145	429	488
146	430	488
147	430	488
148	430	488
149	430	488
150	430	488
151	431	488
152	431	488
153	431	488
154	431	488
155	431	488
156	432	488
157	432	488
158	432	488
159	432	488
160	432	488
161	433	489
162	433	489
163	433	489
164	433	489
165	433	489
166	434	489
167	434	489
168	434	489
169	434	489
170	434	489
171	435	489
172	435	489
173	435	489
174	435	489
175	435	489
176	436	489
177	436	489
178	436	489
179	436	489
180	436	489
181	437	490
182	437	490
183	437	490
184	437	490
185	437	490
186	438	490
187	438	490
188	438	490
189	438	490
190	438	490
191	439	490
192	439	490
193	439	490
194	439	490
195	439	490
196	440	490
197	440	490
198	440	490
199	440	490
200	440	490
201	441	491
202	441	491
203	441	491
204	441	491
205	441	491
206	442	491
207	442	491
208	442	491
209	442	491
210	442	491
211	443	491
212	443	491
213	443	491
214	443	491
215	443	491
216	444	491
217	444	491
218	444	491
219	444	491
220	444	491
221	445	492
222	445	492
223	445	492
224	445	492
225	445	492
226	446	492
227	446	492
228	446	492
229	446	492
230	446	492
231	447	492
232	447	492
233	447	492
234	447	492
235	447	492
236	448	492
237	448	492
238	448	492
239	448	492
240	448	492
241	449	493
242	449	493
243	449	493
244	449	493
245	449	493
246	450	493
247	450	493
248	450	493
249	450	493
250	450	493
251	451	493
252	451	493
253	451	493
254	451	493
255	451	493
256	452	493
257	452	493
258	452	493
259	452	493
260	452	493
261	453	494
262	453	494
263	453	494
264	453	494
265	453	494
266	454	494
267	454	494
268	454	494
269	454	494
270	454	494
271	455	494
272	455	494
273	455	494
274	455	494
275	455	494
276	456	494
277	456	494
278	456	494
279	456	494
280	456	494
281	457	495
282	457	495
283	457	495
284	457	495
285	457	495
286	458	495
287	458	495
288	458	495
289	458	495
290	458	495
291	459	495
292	459	495
293	459	495
294	459	495
295	459	495
296	460	495
297	460	495
298	460	495
299	460	495
300	460	495
301	461	496
302	461	496
303	461	496
304	461	496
305	461	496
306	462	496
307	462	496
308	462	496
309	462	496
310	462	496
311	463	496
312	463	496
313	463	496
314	463	496
315	463	496
316	464	496
317	464	496
318	464	496
319	464	496
320	464	496
321	465	497
322	465	497
323	465	497
324	465	497
325	465	497
326	466	497
327	466	497
328	466	497
329	466	497
330	466	497
331	467	497
332	467	497
333	467	497
334	467	497
335	467	497
336	468	497
337	468	497
338	468	497
339	468	497
340	468	497
341	469	498
342	469	498
343	469	498
344	469	498
345	469	498
346	470	498
347	470	498
348	470	498
349	470	498
350	470	498
351	471	498
352	471	498
353	471	498
354	471	498
355	471	498
356	472	498
357	472	498
358	472	498
359	472	498
360	472	498
361	473	499
362	473	499
363	473	499
364	473	499
365	473	499
366	474	499
367	474	499
368	474	499
369	474	499
370	474	499
371	475	499
372	475	499
373	475	499
374	475	499
375	475	499
376	476	499
377	476	499
378	476	499
379	476	499
380	476	499
381	477	500
382	477	500
383	477	500
384	477	500
385	477	500
386	478	500
387	478	500
388	478	500
389	478	500
390	478	500
391	479	500
392	479	500
393	479	500
394	479	500
395	479	500
396	480	500
397	480	500
398	480	500
399	480	500
400	480	500
